#           k/h    P           
    0.10000E-03    0.27584E+03
    0.10202E-03    0.28123E+03
    0.10408E-03    0.28672E+03
    0.10618E-03    0.29233E+03
    0.10833E-03    0.29804E+03
    0.11052E-03    0.30386E+03
    0.11275E-03    0.30980E+03
    0.11503E-03    0.31586E+03
    0.11735E-03    0.32203E+03
    0.11972E-03    0.32832E+03
    0.12214E-03    0.33473E+03
    0.12461E-03    0.34127E+03
    0.12712E-03    0.34794E+03
    0.12969E-03    0.35474E+03
    0.13231E-03    0.36167E+03
    0.13499E-03    0.36874E+03
    0.13771E-03    0.37594E+03
    0.14049E-03    0.38328E+03
    0.14333E-03    0.39077E+03
    0.14623E-03    0.39840E+03
    0.14918E-03    0.40618E+03
    0.15220E-03    0.41412E+03
    0.15527E-03    0.42220E+03
    0.15841E-03    0.43045E+03
    0.16161E-03    0.43885E+03
    0.16487E-03    0.44742E+03
    0.16820E-03    0.45616E+03
    0.17160E-03    0.46507E+03
    0.17507E-03    0.47415E+03
    0.17860E-03    0.48340E+03
    0.18221E-03    0.49284E+03
    0.18589E-03    0.50246E+03
    0.18965E-03    0.51227E+03
    0.19348E-03    0.52226E+03
    0.19739E-03    0.53246E+03
    0.20138E-03    0.54285E+03
    0.20544E-03    0.55344E+03
    0.20959E-03    0.56424E+03
    0.21383E-03    0.57525E+03
    0.21815E-03    0.58647E+03
    0.22255E-03    0.59791E+03
    0.22705E-03    0.60957E+03
    0.23164E-03    0.62146E+03
    0.23632E-03    0.63357E+03
    0.24109E-03    0.64593E+03
    0.24596E-03    0.65852E+03
    0.25093E-03    0.67136E+03
    0.25600E-03    0.68444E+03
    0.26117E-03    0.69778E+03
    0.26645E-03    0.71138E+03
    0.27183E-03    0.72523E+03
    0.27732E-03    0.73936E+03
    0.28292E-03    0.75376E+03
    0.28864E-03    0.76844E+03
    0.29447E-03    0.78340E+03
    0.30042E-03    0.79865E+03
    0.30649E-03    0.81420E+03
    0.31268E-03    0.83004E+03
    0.31899E-03    0.84620E+03
    0.32544E-03    0.86266E+03
    0.33201E-03    0.87943E+03
    0.33872E-03    0.89654E+03
    0.34556E-03    0.91396E+03
    0.35254E-03    0.93173E+03
    0.35966E-03    0.94983E+03
    0.36693E-03    0.96829E+03
    0.37434E-03    0.98709E+03
    0.38190E-03    0.10063E+04
    0.38962E-03    0.10258E+04
    0.39749E-03    0.10457E+04
    0.40552E-03    0.10660E+04
    0.41371E-03    0.10867E+04
    0.42207E-03    0.11077E+04
    0.43060E-03    0.11292E+04
    0.43929E-03    0.11511E+04
    0.44817E-03    0.11734E+04
    0.45722E-03    0.11961E+04
    0.46646E-03    0.12192E+04
    0.47588E-03    0.12428E+04
    0.48550E-03    0.12669E+04
    0.49530E-03    0.12914E+04
    0.50531E-03    0.13163E+04
    0.51552E-03    0.13417E+04
    0.52593E-03    0.13676E+04
    0.53656E-03    0.13940E+04
    0.54739E-03    0.14209E+04
    0.55845E-03    0.14483E+04
    0.56973E-03    0.14762E+04
    0.58124E-03    0.15047E+04
    0.59299E-03    0.15336E+04
    0.60496E-03    0.15631E+04
    0.61719E-03    0.15932E+04
    0.62965E-03    0.16238E+04
    0.64237E-03    0.16549E+04
    0.65535E-03    0.16867E+04
    0.66859E-03    0.17190E+04
    0.68210E-03    0.17520E+04
    0.69588E-03    0.17855E+04
